-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.023,  0.148
-183.800, 80.198, 0.019,  0.181
-183.800, 80.197, 0.018,  0.214
-183.800, 80.197, 0.019,  0.247
-183.799, 80.194, 0.065,  0.280
-183.798, 80.191, 0.101,  0.313
-183.797, 80.185, 0.166,  0.346
-183.795, 80.178, 0.183,  0.379
-183.793, 80.170, 0.263,  0.412
-183.790, 80.159, 0.326,  0.445
-183.788, 80.148, 0.334,  0.478
-183.785, 80.135, 0.354,  0.511
-183.781, 80.122, 0.410,  0.544
-183.778, 80.107, 0.463,  0.577
-183.773, 80.092, 0.492,  0.610
-183.769, 80.074, 0.528,  0.643
-183.764, 80.056, 0.550,  0.676
-183.759, 80.037, 0.589,  0.709
-183.753, 80.016, 0.627,  0.742
-183.747, 79.994, 0.652,  0.775
-183.741, 79.972, 0.693,  0.808
-183.735, 79.948, 0.724,  0.841
-183.728, 79.924, 0.759,  0.874
-183.721, 79.899, 0.767,  0.907
-183.714, 79.873, 0.771,  0.940
-183.706, 79.848, 0.775,  0.973
-183.699, 79.823, 0.783,  1.006
-183.691, 79.798, 0.787,  1.039
-183.683, 79.772, 0.799,  1.072
-183.675, 79.746, 0.806,  1.105
-183.667, 79.719, 0.819,  1.138
-183.658, 79.693, 0.827,  1.171
-183.649, 79.666, 0.840,  1.204
-183.640, 79.638, 0.850,  1.237
-183.631, 79.611, 0.862,  1.270
-183.621, 79.583, 0.873,  1.303
-183.611, 79.554, 0.883,  1.336
-183.601, 79.526, 0.894,  1.369
-183.591, 79.497, 0.904,  1.402
-183.580, 79.468, 0.913,  1.435
-183.569, 79.438, 0.923,  1.468
-183.558, 79.409, 0.932,  1.501
-183.547, 79.379, 0.940,  1.534
-183.535, 79.349, 0.948,  1.567
-183.523, 79.319, 0.956,  1.600
-183.511, 79.288, 0.966,  1.633
-183.498, 79.257, 0.972,  1.666
-183.486, 79.227, 0.981,  1.699
-183.473, 79.196, 0.986,  1.732
